vole,vole_2,day,title,runtime,finished,rounds_completed,args,script_path,script_setup,hardware_setup,output_path
7049,7061,14,novel_only_delay,6_18_2024__13_24,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7140,7062,9,novel_only_delay,6_18_2024__14_26,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,7174,9,novel_only_delay,6_18_2024__15_59,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7116,7178,9,novel_only_delay,6_18_2024__17_8,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7110,7180,9,novel_only_delay,6_18_2024__18_9,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7140,7180,10,novel_only_delay,6_19_2024__11_47,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,7178,10,novel_only_delay,6_19_2024__12_38,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7116,7174,10,novel_only_delay,6_19_2024__13_22,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7110,7161,10,novel_only_delay,6_19_2024__14_13,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,7064,15,novel_only_delay,6_19_2024__14_59,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
